"","Make","Model","Style","Year","RealPrice","Edmund's Price","KBB","CarGuru"
"123","GMC","Sierra 1500","2WD Ext Cab 157.5"" SLT",2009,17830,17464,22214,"17463"
"124","Honda","Odyssey","5dr EX-L w/DVD/Leather",2002,5572,3184,2594,NA
"125","Honda","Accord","4dr Sdn LX Auto",1998,2398,1331,1085,NA
"126","Honda","Accord","2dr I4 Auto LX-S PZEV",2010,10399,8657,9220,"9879"
"127","Dodge","Ram 3500","4dr Quad Cab 160.5"" WB DRW SLT",2003,3554,7840,27277,"16980"
"128","Dodge","Magnum","4dr Wgn SXT AWD",2006,5964,4282,5617,"6356"
"129","Dodge","Ram 1500","4dr Quad Cab 139"" WB 4WD",1998,1463,NA,3478,NA
"130","Nissan","Altima","4dr Sdn V6 Man 3.5 SE",2009,7534,6725,7703,"8754"
"131","Nissan","Pathfinder","2WD 4dr S",2013,16875,16121,15238,"16727"
"132","Nissan","JUKE","5dr Wgn CVT SL AWD",2013,12249,14033,13894,"14390"
"133","Toyota","Prius","5dr HB",2006,7014,4047,5494,"5944"
"134","Toyota","Prius v","5dr Wgn Two",2014,15782,16756,16290,"17177"
"135","Toyota","Camry","4dr Sdn",2011,12441,8569,8316,"10166"
"136","Chevrolet","Traverse","AWD 4dr LTZ",2009,9248,11361,14196,"13430"
"137","Chevrolet","Malibu","4dr Sdn LS w/1LS",2010,7803,6437,7459,"7968"
"138","Chevrolet","Silverado 2500","HD Reg Cab 133.0"" WB C6P",1999,4938,1972,2799,NA
"139","Ford","Crown Victoria","4dr Sdn",1999,1380,1456,1319,NA
"140","Ford","Edge","4dr SE FWD",2016,24586,20347,17889,"21377"
"141","Ford","Ranger","Reg Cab 113.9"" WB XLT 4WD",1997,4225,1791,2076,"4140"
"142","Daewoo","Leganza","4dr Sdn SE",2002,1730,1532,1484,NA
"143","Freightliner","Sprinter Crews","4WD 2500 144""",2015,22543,NA,29851,NA
"144","Geo","Metro","2dr HB",1997,552,1241,1412,NA
"145","Lamborghini","Aventador","2dr Conv LP 750-4 Superveloce",2016,413934,NA,NA,"349473"
"146","Lotus","Elise","2dr Conv",2010,14875,NA,NA,NA
"147","McLaren","675LT","2dr Conv Spider",2016,369702,NA,NA,"177201"
"148","smart","fortwo","2dr Cpe Pure",2008,4481,2442,2705,NA
"149","Tesla","Model X","AWD 4dr 90D",2016,94455,NA,98161,"82806"
