"Make","Model","Style","CHStyleId","Year","Milage","RealPrice","Edmund's Price","KBB Price","CarGurus Price"
"Lincoln","MKX","AWD 4dr Reserve","0RSETOH7U64N",2016,"\N",34017,NA,NA,NA
"Maserati","Levante","S 3.0L","J6CE4AHIT52Z",2017,"\N",72831,NA,NA,NA
"Maserati","Levante","3.0L","PXS6YKMF0SN0",2017,"\N",62161,NA,NA,NA
"Maserati","Ghibli","4dr Sdn S Q4","F4G272BV6MOP",2016,"\N",55211,NA,NA,NA
"Mazda","Mazda3","4dr Sdn Auto i Touring","DJXRU4UZ5NVH",2016,"\N",15188,NA,NA,NA
"Mazda","Mazda6","Sport Auto","710XJVZXDMP9",2017,"\N",20942,NA,NA,NA
"Mazda","CX-5","2016.5 FWD 4dr Man Sport","1R1N985NYEIE",2016,"\N",21663,NA,NA,NA
"Mercedes-Benz","G-Class","4MATIC 4dr AMG G65","YJPQQI7QVUT1",2016,"\N",151005,NA,NA,NA
"Mercedes-Benz","CLA","4dr Sdn AMG CLA45 4MATIC","K6WQ2I4BWEW6",2016,"\N",30200,NA,NA,NA
"Mercedes-Benz","B-Class","4dr HB Electric Drive","4UKBCP1ETG60",2016,"\N",28725,NA,NA,NA
"MINI","Countryman","Cooper ALL4","4U20941MIY0S",2017,"\N",28100,NA,NA,NA
"MINI","Cooper","2dr S","140LVE2526B3",2016,"\N",25968,NA,NA,NA
"MINI","Convertible","John Cooper Works 2 Door","Z6OSUG09ZAOH",2017,"\N",35600,NA,NA,NA
"Mitsubishi","Mirage G4","SE CVT","1Z18EOYL2Z1J",2017,"\N",13940,NA,NA,NA
"Mitsubishi","Mirage G4","ES Manual","5R7VWORP1EW3",2017,"\N",12401,NA,NA,NA
"Mitsubishi","Outlander Sport","AWC 4dr CVT 2.4 GT","3894DC1KGXFY",2016,"\N",17474,NA,NA,NA
"Nissan","Murano","FWD 4dr Platinum","K8UHIMXFLMO3",2016,"\N",27688,NA,NA,NA
"Nissan","Versa Note","5dr HB CVT 1.6 SV","7I424O6V5QSV",2016,"\N",9101,NA,NA,NA
"Nissan","Versa","S Automatic","ULWDY2UIO9OH",2017,"\N",12312,NA,NA,NA
"Ram","1500","2WD Quad Cab 140.5"" Big Horn","D053DSM88TTI",2016,"\N",23310,NA,NA,NA
"Ram","2500","4WD Crew Cab 169"" Longhorn Limited","05WDJRC5IG68",2016,"\N",37319,NA,NA,NA
"Ram","1500","2WD Crew Cab 140.5"" SLT","3JTBRE9O1DJT",2016,"\N",20515,NA,NA,NA
"Subaru","Legacy","4dr Sdn 2.5i","19IDEPNFHHB4",2016,"\N",16048,NA,NA,NA
"Subaru","Crosstrek","5dr Man 2.0i","AU95ZDONEDY0",2016,"\N",20339,NA,NA,NA
"Subaru","Forester","4dr CVT 2.5i PZEV","142B0X3KJXTS",2016,"\N",20619,NA,NA,NA
"Toyota","Avalon","4dr Sdn Limited","2HJ9NSWW2XXO",2016,"\N",24417,NA,NA,NA
"Toyota","Sienna","LE FWD 8-Passenger","0F8E566MGX1M",2017,"\N",31873,NA,NA,NA
"Toyota","Tacoma","4WD Double Cab V6 MT TRD Off Road","0V1PAVANWRT7",2016,"\N",23663,NA,NA,NA
"Volkswagen","Jetta","1.8T SEL Premium Auto","0DUORTK6AVO6",2017,"\N",16518,NA,NA,NA
"Volkswagen","Passat","4dr Sdn 1.8T Auto S","2WYJE4CIHZEZ",2016,"\N",14869,NA,NA,NA
"Volkswagen","Jetta","4dr Auto 1.4T S w/Technology","0PTIPC05VPTJ",2016,"\N",11776,NA,NA,NA
"Aston Martin","DB9","2dr Cpe Auto GT Bond Edition","TN8MPQJ3EP1X",2016,"\N",163068,NA,NA,NA
"Aston Martin","Rapide S","4dr Sdn Auto","4PULB5ZQIQ94",2016,"\N",175371,NA,NA,NA
"Bentley","Bentayga","W12 AWD","0FCDK029KBMP",2017,"\N",206190,NA,NA,NA
"Cadillac","CT6","4dr Sdn 3.6L Luxury AWD","4MWK1CSUZC6Q",2016,"\N",57389,NA,NA,NA
"Ferrari","488 GTB","2dr Cpe","O9YQAC6N9BZD",2016,"\N",245400,NA,NA,NA
"Jaguar","F-TYPE","2dr Conv Auto S AWD","SW3PHIGVCVW2",2016,"\N",61706,NA,NA,NA
"Lamborghini","Aventador","2dr Conv LP 750-4 Superveloce","47O74CXNCVCM",2016,"\N",413934,NA,NA,NA
"Lexus","GX","GX 460 Luxury 4WD","118UDXC2UQM9",2017,"\N",49880,NA,NA,NA
"Lexus","RX","RX 350 F Sport AWD","AIVBGOTH7F95",2017,"\N",45378,NA,NA,NA
"McLaren","675LT","2dr Conv Spider","8O3VTUSF3AB8",2016,"\N",369702,NA,NA,NA
"Scion","FR-S","2dr Cpe Auto Release Series 2.0","8IKQWMTYCTIR",2016,"\N",22315,NA,NA,NA
"Scion","iM","5dr HB CVT","I71AJ431SC88",2016,"\N",13800,NA,NA,NA
"Tesla","Model X","AWD 4dr 90D","KZT8ZQHXLCRO",2016,"\N",94455,NA,NA,NA
"Volvo","XC90","T8 Twin Engine Plug-In Hybrid 7-Pass Excellence","EL4Y7Q2EM4WX",2017,"\N",94410,NA,NA,NA
